time_ms,adc_output_mv,smoothed_mv,is_r_peak
1371912,1843,1843.5,0
1371944,1844,1844.667,0
1371976,1847,1845.667,0
1372008,1846,1845.667,0
1372040,1844,1845.333,0
1372072,1846,1844.667,0
1372104,1844,1846.0,0
1372136,1848,1847.0,0
1372168,1849,1846.667,0
1372200,1843,1834.667,0
1372232,1812,1884.333,0
1372263,1998,1884.333,0
1372295,1843,1893.667,1
1372327,1840,1840.0,0
1372359,1837,1834.667,0
1372391,1827,1827.333,0
1372422,1818,1820.667,0
1372453,1817,1819.333,0
1372484,1823,1826.0,0
1372515,1838,1833.667,0
1372547,1840,1838.667,0
1372579,1838,1839.333,0
1372611,1840,1839.667,0
1372643,1841,1840.667,0
1372675,1841,1840.667,0
1372707,1840,1840.333,0
1372739,1840,1840.667,0
1372771,1842,1841.667,0
1372803,1843,1842.333,0
1372835,1842,1841.333,0
1372867,1839,1840.333,0
1372899,1840,1839.0,0
1372931,1838,1839.667,0
1372963,1841,1838.333,0
1372995,1836,1830.0,0
1373027,1813,1857.333,0
1373058,1923,1856.667,0
1373090,1834,1861.667,0
1373122,1828,1830.0,0
1373153,1828,1824.333,0
1373184,1817,1820.667,0
1373215,1817,1817.0,0
1373246,1817,1817.0,0
1373277,1817,1820.0,0
1373308,1826,1824.0,0
1373339,1829,1829.667,0
1373370,1834,1830.0,0
1373402,1827,1828.667,0
1373433,1825,1826.667,0
1373464,1828,1827.333,0
1373495,1829,1828.0,0
1373526,1827,1828.0,0
1373557,1828,1830.0,0
1373588,1835,1832.667,0
1373620,1835,1834.333,0
1373652,1833,1835.333,0
1373683,1838,1836.667,0
1373715,1839,1838.667,0
1373747,1839,1838.0,0
1373779,1836,1829.0,0
1373811,1812,1857.0,0
1373842,1923,1857.0,0
1373874,1836,1865.0,0
1373906,1836,1833.333,0
1373938,1828,1829.0,0
1373969,1823,1823.0,0
1374000,1818,1819.333,0
1374031,1817,1820.333,0
1374062,1826,1826.333,0
1374093,1836,1834.0,0
1374125,1840,1837.333,0
1374157,1836,1838.0,0
1374189,1838,1836.0,0
1374221,1834,1835.333,0
1374253,1834,1835.0,0
1374285,1837,1834.667,0
1374317,1833,1836.0,0
1374348,1838,1836.333,0
1374380,1838,1838.667,0
1374412,1840,1839.0,0
1374444,1839,1838.0,0
1374476,1835,1836.333,0
1374508,1835,1836.667,0
1374540,1840,1837.667,0
1374572,1838,1829.0,0
1374604,1809,1837.333,0
1374635,1865,1835.333,0
1374667,1832,1841.0,0
1374698,1826,1828.0,0
1374729,1826,1824.333,0
1374760,1821,1821.333,0
1374791,1817,1818.333,0
1374822,1817,1817.667,0
1374853,1819,1824.0,0
1374884,1836,1831.667,0
1374916,1840,1839.0,0
1374948,1841,1840.0,0
1374980,1839,1840.0,0
1375012,1840,1839.667,0
1375044,1840,1839.667,0
1375076,1839,1839.667,0
1375108,1840,1839.667,0
1375140,1840,1841.0,0
1375172,1843,1842.333,0
1375204,1844,1843.333,0
1375236,1843,1843.0,0
1375268,1842,1841.667,0
1375300,1840,1840.667,0
1375332,1840,1834.0,0
1375364,1822,1863.0,0
1375395,1927,1865.333,0
1375427,1847,1871.667,0
1375459,1841,1842.333,0
1375491,1839,1835.0,0
1375523,1825,1827.667,0
1375554,1819,1821.333,0
1375585,1820,1820.0,0
1375616,1821,1823.667,0
1375647,1830,1830.333,0
1375678,1840,1836.667,0
1375710,1840,1839.333,0
1375742,1838,1839.0,0
1375774,1839,1838.667,0
1375806,1839,1840.667,0
1375838,1844,1842.333,0
1375870,1844,1843.667,0
1375902,1843,1841.667,0
1375934,1838,1840.333,0
1375966,1840,1839.0,0
1375998,1839,1839.333,0
1376030,1839,1839.0,0
1376062,1839,1839.333,0
1376094,1840,1838.0,0
1376126,1835,1829.667,0
1376158,1814,1847.333,0
1376189,1893,1847.333,0
1376221,1835,1854.333,0
1376253,1835,1834.0,0
1376285,1832,1830.333,0
1376316,1824,1824.333,0
1376347,1817,1819.667,0
1376378,1818,1823.333,0
1376409,1835,1833.333,0
1376441,1847,1843.667,0
1376473,1849,1848.0,0
1376505,1848,1848.333,0
1376537,1848,1848.333,0
1376569,1849,1848.667,0
1376601,1849,1848.333,0
1376633,1847,1848.0,0
1376665,1848,1847.333,0
1376697,1847,1849.333,0
1376729,1853,1848.667,0
1376761,1846,1848.333,0
1376793,1846,1844.667,0
1376825,1842,1845.0,0
1376857,1847,1845.0,0
1376889,1846,1835.667,0
1376921,1814,1886.0,0
1376952,1998,1886.0,0
1376984,1846,1893.667,1
1377016,1837,1837.667,0
1377048,1830,1830.333,0
1377079,1824,1824.333,0
1377110,1819,1820.0,0
1377141,1817,1819.333,0
1377172,1822,1826.333,0
1377203,1840,1835.667,0
1377235,1845,1843.0,0
1377267,1844,1844.667,0
1377299,1845,1844.667,0
1377331,1845,1844.667,0
1377363,1844,1844.333,0
1377395,1844,1844.0,0
1377427,1844,1843.667,0
1377459,1843,1843.333,0
1377491,1843,1842.667,0
1377523,1842,1843.333,0
1377555,1845,1844.0,0
1377587,1845,1844.667,0
1377619,1844,1842.0,0
1377651,1837,1831.0,0
1377683,1812,1858.333,0
1377714,1926,1857.667,0
1377746,1835,1863.0,0
1377778,1828,1829.667,0
1377809,1826,1824.333,0
1377840,1819,1821.0,0
1377871,1818,1818.0,0
1377902,1817,1818.667,0
1377933,1821,1823.0,0
1377964,1831,1830.667,0
1377995,1840,1838.333,0
1378027,1844,1842.667,0
1378059,1844,1843.333,0
1378091,1842,1842.667,0
1378123,1842,1843.0,0
1378155,1845,1844.667,0
1378187,1847,1846.333,0
1378219,1847,1846.667,0
1378251,1846,1844.667,0
1378283,1841,1844.0,0
1378315,1845,1844.0,0
1378347,1846,1839.0,0
1378379,1826,1868.333,0
1378410,1933,1872.0,0
1378442,1857,1876.667,0
1378474,1840,1842.667,0
1378506,1831,1832.333,0
1378537,1826,1826.333,0
1378568,1822,1821.667,0
1378599,1817,1818.667,0
1378630,1817,1823.0,0
1378661,1835,1832.0,0
1378693,1844,1842.0,0
1378725,1847,1844.333,0
1378757,1842,1844.667,0
1378789,1845,1844.667,0
1378821,1847,1846.0,0
1378853,1846,1848.0,0
1378885,1851,1848.0,0
1378917,1847,1849.0,0
1378949,1849,1849.333,0
1378981,1852,1855.333,0
1379013,1865,1858.667,0
1379045,1859,1858.0,0
1379077,1850,1842.333,0
1379109,1818,1911.667,0
1379140,2067,1913.0,0
1379172,1854,1921.0,1
1379204,1842,1843.667,0
1379236,1835,1834.667,0
1379268,1827,1827.0,0
1379299,1819,1821.333,0
1379330,1818,1822.333,0
1379361,1830,1830.0,0
1379392,1842,1839.667,0
1379424,1847,1845.0,0
1379456,1846,1845.333,0
1379488,1843,1844.333,0
1379520,1844,1844.0,0
1379552,1845,1844.667,0
1379584,1845,1844.667,0
1379616,1844,1845.667,0
1379648,1848,1846.0,0
1379680,1846,1847.0,0
1379712,1847,1845.333,0
1379744,1843,1845.0,0
1379776,1845,1843.0,0
1379808,1841,1832.667,0
1379840,1812,1865.333,0
1379871,1943,1867.333,0
1379903,1847,1876.333,0
1379935,1839,1840.0,0
1379967,1834,1834.667,0
1379999,1831,1828.667,0
1380030,1821,1823.667,0
1380061,1819,1822.667,0
1380092,1828,1830.0,0
1380123,1843,1838.333,0
1380155,1844,1844.0,0
1380187,1845,1844.0,0
1380219,1843,1843.667,0
